
[#include]
0				= Colors.ini

FE3D487EA47AD			= Cormorant.ini
EC794FE4D7196			= Weapon.ini
A2D3C4F6D5212			= Rocket_High_GenScatter.ini
7E445BB5C392B			= Rocket_High_GenScatter_RedTrail.ini
67CC77E8DCD8B			= Rocket_HeatSeeker2.ini
CE5A1859F7F61			= Explosion_WD1.2.ini
FB933C8ACDF4C			= Explosion_Frag.ini
358959A5CC34F			= Luyang.ini
D84244EDA7E51			= SilkwormLauncher.ini
948F347452F5B			= SilkwormRocket.ini
539332475A615			= RedflagLauncher.ini
7B68EFFECB935			= RedflagRocket.ini
269963CB87D69			= Explosion.ini
FF4A11269B255			= Explosion_CMISL.ini
6861FBE43FF7D			= Flamingo.ini
724FA77DF7A2E			= CNCommCenter.ini
79FD5632B6473			= FireBurst.ini
22F4BD448F4DA			= FireFragment.ini
5AB25ED8BF94C			= HonestJohnLauncher.ini
18DFDF9DCFD4C			= HonestJohnRocket.ini
9D4E9A93A8842			= Monitor.ini
284F8E3617EAB			= QuadCannon.ini
E3E17893B39C9			= GeonosianWarrior.ini
341384DAB3899			= SonicGun.ini
CBCB9E3EC76DD			= Cal.50Bullet.ini
4AE2D6FA5F978			= Emplacement_Cannon.ini
7882F3F77685A			= DoNotAttack.ini
blabla				= SentryEmplacement.ini
blablb				= CNBuilding01.ini
blablc				= CNBuilding02.ini
blabld				= CNBuilding03.ini
blably				= CNBuilding04.ini
495F8BA95C979			= Dragoon.ini
FELZENTY			= SWARMLauncher.ini
FELZENTX			= Berkut.ini
FELZENTZ			= MutantHound.ini
FELZENTA			= BlightHurler.ini
FELZENTB			= CBShell.ini
FELZENTC			= Emplacement_Mutator.ini
FELZENTD			= SpireGhast.ini
FELZENTE			= Raven.ini
FELZENTF			= Fire.ini
FELZENTG			= CH-47_Chinook.ini
FELZENTH			= Marine.ini
FELZENTI			= ALTruck.ini
FELZENTJ			= Chelonia.ini
FELZENTK			= AvengerGun.ini
FELZENTL			= CNOutpost.ini
FELZENTM			= Emplacement_SilkwormLauncher.ini
FELZENTN			= PrisonTruck.ini
FELZENTO			= TowerWoodB.ini
FELZENTP			= EMPulse.ini
FELZENTQ			= InvokeEMPulse.ini
FELZENTR			= TankHover.ini
FELZENTS			= EAMissilier.ini
FELZENTT			= DragonRocketLauncher.ini
FELZENTU			= SprayBerzerk.ini
FELZENTV			= TyphoonRocketLauncher.ini
FELZENUA			= Emplacement_ToxinSpray.ini
FELZENUB			= SprayPoison.ini
FELZENUC			= LynxTank.ini
FELZENUD			= Kusanagi.ini
FELZENUE			= TunedPistol.ini
FELZENUF			= Brute.ini
FELZENUG			= Brute_Tiberium.ini
FELZENUH			= BruteAttack.ini
FELZENUI			= TekkaWarrior.ini
FELZENUJ			= Tanya.ini
FELZENUK			= Blade.ini
FELZENUL			= BlackOpsGhost.ini
FELZENUM			= BlackOpsGhostSniper.ini
FELZENUN			= Dendroid.ini
FELZENUO			= Ghost2.ini
FELZENUP			= Ghost3.ini
FELZENUQ			= Berserker.ini
FELZENUR			= Bear.ini
FELZENUS			= Paradisaeidos.ini
FELZENUT			= ParadisaeidosRocketStation.ini
FELZENUU			= ParadisaeidosRocket.ini
FELZENUV			= ParadisaeidosRocketExplosion.ini
FELZENUW			= HalcyonicSanctumGizmo.ini
FELZENUX			= Ironclad.ini
FELZENUY			= FlareRocketPods.ini
FELZENUZ			= FlareRocket.ini
FELZENVA			= Cazador.ini
FELZENVB			= Feral.ini
FELZENVC			= Savage.ini
FELZENVD			= Tsurugi.ini
FELZENVE			= Bradley.ini
FELZENVF			= IFV_CenturionCannon.ini
FELZENVG			= TeslaCoil.ini
FELZENVH			= Cattlepult.ini
FELZENVI			= Megaphone.ini
FELZENVJ			= FooFighter.ini
FELZENVK			= Scattergun.ini
FELZENVL			= BushmasterGun.ini
FELZENVM			= Cannon75mm.ini
FELZENVN			= GhoulTank.ini
FELZENVO			= Infantry_EMP.ini
FELZENVP			= EMPulse.ini
FELZENVQ			= TankDestroyerV.ini
FELZENVR			= Exocet.ini
FELZENVS			= T-35.ini
FELZENVT			= OverlordTank.ini
FELZENVU			= Cannon130mmDual.ini
FELZENVV			= Yukikaze.ini
FELZENVW			= SWARMLauncher.ini
FELZENVX			= SWARMissile.ini
FELZENVY			= Explosion.ini
FELZENVZ			= TankSWARM.ini
FELZENWA			= Tempest.ini
FELZENWB			= M60_Patton.ini
FELZENWC			= Cannon90mm.ini
FELZENWD			= Mindflayer.ini

99999998			= TESTTengu.ini
99999999			= BeyondmidtwentiessomethingGRAIONDILACH.ini ; ### BENCHMARK ###
